genre,text,clique_id,lemma,pos,affix,stem
pseudotext,pseudotext_01,1,viking,NNPS,s,vike
pseudotext,pseudotext_01,1,also,RB,NA,also
pseudotext,pseudotext_01,1,introduce,VBN,ed,introduc
pseudotext,pseudotext_01,1,coinage,NN,NA,coinag
pseudotext,pseudotext_01,1,better,RBR,NA,better
pseudotext,pseudotext_01,1,ship-building,JJ,NA,ship-build
pseudotext,pseudotext_01,1,technique,NNS,s,techniqu
pseudotext,pseudotext_01,2,be,VBD,ed,be
pseudotext,pseudotext_01,2,crown,VBN,ed,crown
pseudotext,pseudotext_01,2,king,NNP,NA,king
pseudotext,pseudotext_01,2,scot,NNP,s,scot
pseudotext,pseudotext_01,2,scone,NNP,NA,scone
pseudotext,pseudotext_01,2,1306,CD,NA,1306
pseudotext,pseudotext_01,2,begin,VBD,ed,begin
pseudotext,pseudotext_01,2,campaign,NN,NA,campaign
pseudotext,pseudotext_01,2,drive,VB,NA,drive
pseudotext,pseudotext_01,2,english,NNP,NA,english
pseudotext,pseudotext_01,2,scotland,NNP,NA,scotland
pseudotext,pseudotext_01,3,new,JJ,NA,new
pseudotext,pseudotext_01,3,jewish,JJ,NA,jewish
pseudotext,pseudotext_01,3,state,NN,NA,state
pseudotext,pseudotext_01,3,israel,NNP,NA,israel
pseudotext,pseudotext_01,3,found,VBD,ed,found
pseudotext,pseudotext_01,3,land,NN,NA,land
pseudotext,pseudotext_01,3,so,RB,NA,so
pseudotext,pseudotext_01,3,recently,RB,NA,recent
pseudotext,pseudotext_01,3,islamic,NNP,NA,islam
pseudotext,pseudotext_01,3,palestine,NNP,NA,palestin
pseudotext,pseudotext_01,3,send,VBD,ed,send
pseudotext,pseudotext_01,3,shock,NN,NA,shock
pseudotext,pseudotext_01,3,wave,NNS,s,wave
pseudotext,pseudotext_01,3,arab,JJ,NA,arab
pseudotext,pseudotext_01,3,world,NN,NA,world
pseudotext,pseudotext_01,3,egypt,NNP,NA,egypt
pseudotext,pseudotext_01,3,find,VBD,ed,find
pseudotext,pseudotext_01,3,center,NN,NA,center
pseudotext,pseudotext_01,3,bloody,JJ,NA,bloodi
pseudotext,pseudotext_01,3,defeat,NN,NA,defeat
pseudotext,pseudotext_01,3,1948,CD,NA,1948
pseudotext,pseudotext_01,3,stand,VBD,ed,stand
pseudotext,pseudotext_01,3,up,RB,NA,up
pseudotext,pseudotext_01,3,new,JJ,NA,new
pseudotext,pseudotext_01,3,neighbor,NN,NA,neighbor
pseudotext,pseudotext_01,5,modern,JJ,NA,modern
pseudotext,pseudotext_01,5,unity,NN,NA,uniti
pseudotext,pseudotext_01,5,france,NNP,NA,franc
pseudotext,pseudotext_01,5,be,VBD,ed,be
